Metodo,Puntos,Tiempo(s),Pi,Aceleracion
Secuencial,100000,0.002035,3.1403200,N/A
CUDA,100000,0.005220,3.1403200,.38984674329501915708
Secuencial,1000000,0.014975,3.1413000,N/A
CUDA,1000000,0.012362,3.1413000,1.21137356414819608477
Secuencial,10000000,0.092601,3.1418976,N/A
CUDA,10000000,0.088241,3.1418976,1.04941013814439999546
Secuencial,100000000,0.901898,3.1418182,N/A
CUDA,100000000,0.937967,3.1418182,.96154555544064983096
Secuencial,1000000000,8.480377,3.1416419,N/A
CUDA,1000000000,8.849386,3.1416419,.95830117479336984509
