num_steps,num_procs,serial_time,parallel_time,speedup,diff_pi
1000,1,0.000027,0.000032,0.85,0.000000e+00
1000,2,0.000020,0.000052,0.38,3.600000e-02
1000,4,0.000076,0.000054,1.39,1.600000e-02
1000,8,0.000075,0.000070,1.07,4.000000e-02
1000,16,0.000037,0.000242,0.15,0.000000e+00
1000,20,0.000039,0.002814,0.01,1.600000e-02
10000,1,0.000179,0.000243,0.74,0.000000e+00
10000,2,0.000180,0.000332,0.54,2.400000e-03
10000,4,0.000184,0.000315,0.58,1.200000e-02
10000,8,0.000688,0.000195,3.53,1.360000e-02
10000,16,0.000451,0.000036,12.68,8.000000e-03
10000,20,0.000689,0.000306,2.25,1.240000e-02
100000,1,0.002129,0.004729,0.45,0.000000e+00
100000,2,0.002175,0.000902,2.41,4.640000e-03
100000,4,0.001860,0.003212,0.58,1.052000e-02
100000,8,0.001868,0.000894,2.09,4.000000e-03
100000,16,0.006839,0.000486,14.06,2.840000e-03
100000,20,0.007227,0.000896,8.07,3.320000e-03
1000000,1,0.021479,0.020107,1.07,0.000000e+00
1000000,2,0.020524,0.015288,1.34,1.828000e-03
1000000,4,0.024271,0.014102,1.72,2.276000e-03
1000000,8,0.077597,0.009681,8.01,2.632000e-03
1000000,16,0.069448,0.008989,7.73,1.280000e-04
1000000,20,0.072290,0.008394,8.61,2.160000e-04
10000000,1,0.236933,0.311748,0.76,0.000000e+00
10000000,2,0.252886,0.123879,2.04,2.244000e-04
10000000,4,0.216066,0.078903,2.74,4.708000e-04
10000000,8,0.409180,0.129536,3.16,7.600000e-06
10000000,16,0.386897,0.059892,6.46,6.400000e-05
10000000,20,0.374476,0.067858,5.52,6.488000e-04
