muestras,procesos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,1,3.068000000000,0.000048,0.81,1.120000e-01
1000,1,2,3.116000000000,0.000072,3.50,4.000000e-03
1000,1,4,3.228000000000,0.000067,6.35,1.240000e-01
1000,1,8,3.200000000000,0.000290,2.02,1.400000e-01
1000,1,16,3.220000000000,0.000094,7.26,7.200000e-02
1000,1,20,3.192000000000,0.000237,2.89,9.600000e-02
1000,2,1,3.068000000000,0.000075,0.68,1.120000e-01
1000,2,2,3.156000000000,0.000235,1.07,4.400000e-02
1000,2,4,3.180000000000,0.000228,1.59,7.600000e-02
1000,2,8,3.200000000000,0.000342,1.19,1.400000e-01
1000,2,16,3.180000000000,0.000554,1.17,3.200000e-02
1000,2,20,3.184000000000,0.000662,1.15,8.800000e-02
1000,4,1,3.128000000000,0.000058,0.61,5.200000e-02
1000,4,2,3.200000000000,0.000198,0.98,8.800000e-02
1000,4,4,3.172000000000,0.000322,0.76,6.800000e-02
1000,4,8,3.164000000000,0.000616,0.99,1.040000e-01
1000,4,16,3.236000000000,0.000572,0.72,8.800000e-02
1000,4,20,3.224000000000,0.001322,0.60,1.280000e-01
1000,8,1,3.136000000000,0.000063,0.53,4.400000e-02
1000,8,2,3.148000000000,0.000132,1.03,3.600000e-02
1000,8,4,3.184000000000,0.000302,0.76,8.000000e-02
1000,8,8,3.248000000000,0.001041,0.36,1.880000e-01
1000,8,16,3.200000000000,0.001456,0.32,5.200000e-02
1000,8,20,3.184000000000,0.002028,0.47,8.800000e-02
1000,16,1,3.100000000000,0.000195,0.66,8.000000e-02
1000,16,2,3.108000000000,0.000611,0.40,4.000000e-03
1000,16,4,3.256000000000,0.001133,0.44,1.520000e-01
1000,16,8,3.276000000000,0.002049,0.48,2.160000e-01
1000,16,16,3.208000000000,0.003260,0.43,6.000000e-02
1000,16,20,3.204000000000,0.001690,0.45,1.080000e-01
1000,20,1,3.100000000000,0.000168,0.41,8.000000e-02
1000,20,2,3.128000000000,0.000494,0.45,1.600000e-02
1000,20,4,3.224000000000,0.000858,0.54,1.200000e-01
1000,20,8,3.244000000000,0.001889,0.41,1.840000e-01
1000,20,16,3.200000000000,0.004671,0.38,5.200000e-02
1000,20,20,3.224000000000,0.003355,0.31,1.280000e-01
10000,1,1,3.156800000000,0.000324,0.97,6.800000e-03
10000,1,2,3.150400000000,0.000413,1.41,2.040000e-02
10000,1,4,3.144000000000,0.000363,1.50,2.520000e-02
10000,1,8,3.123200000000,0.000277,2.08,3.640000e-02
10000,1,16,3.157200000000,0.000497,1.35,1.600000e-03
10000,1,20,3.158000000000,0.000271,2.96,2.320000e-02
10000,2,1,3.148800000000,0.000162,1.64,1.200000e-03
10000,2,2,3.142000000000,0.000367,1.89,1.200000e-02
10000,2,4,3.120400000000,0.000511,1.12,4.880000e-02
10000,2,8,3.148000000000,0.000577,0.86,1.160000e-02
