muestras,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,3.180000000000,0.000056,1.04,0.000000e+00
1000,2,3.144000000000,0.000200,0.18,3.600000e-02
1000,4,3.196000000000,0.000473,0.17,1.600000e-02
1000,8,3.220000000000,0.000846,0.08,4.000000e-02
1000,16,3.204000000000,0.001700,0.05,2.400000e-02
1000,20,3.164000000000,0.001565,0.02,1.600000e-02
10000,1,3.150000000000,0.000711,1.04,0.000000e+00
10000,2,3.152400000000,0.000880,0.81,2.400000e-03
10000,4,3.162000000000,0.000765,0.88,1.200000e-02
10000,8,3.136400000000,0.001174,0.53,1.360000e-02
10000,16,3.142000000000,0.002045,0.22,8.000000e-03
10000,20,3.162400000000,0.002094,0.15,1.240000e-02
100000,1,3.140320000000,0.002946,0.81,0.000000e+00
100000,2,3.144960000000,0.004217,0.58,4.640000e-03
100000,4,3.150840000000,0.006507,0.51,1.052000e-02
100000,8,3.144320000000,0.006926,0.57,4.000000e-03
100000,16,3.137480000000,0.008360,0.78,2.840000e-03
100000,20,3.137000000000,0.007466,0.43,3.320000e-03
1000000,1,3.141300000000,0.014504,1.77,0.000000e+00
1000000,2,3.143128000000,0.018967,1.42,1.828000e-03
1000000,4,3.143576000000,0.026546,0.78,2.276000e-03
1000000,8,3.143932000000,0.040092,0.67,2.632000e-03
1000000,16,3.141172000000,0.038348,0.50,1.280000e-04
1000000,20,3.141516000000,0.046468,0.50,2.160000e-04
10000000,1,3.141897600000,0.138473,1.13,0.000000e+00
10000000,2,3.142122000000,0.139367,1.04,2.244000e-04
10000000,4,3.142368400000,0.153038,0.97,4.708000e-04
10000000,8,3.141890000000,0.237884,0.62,7.600000e-06
10000000,16,3.141833600000,0.360904,0.42,6.400000e-05
10000000,20,3.141248800000,0.381672,0.40,6.488000e-04
