num_steps,num_procs,serial_time,parallel_time,speedup,diff_pi
1000,1,0.000005,0.000029,0.17,0.000000e+00
1000,2,0.000005,0.000035,0.14,3.996803e-15
1000,4,0.000003,0.000040,0.06,4.884981e-15
1000,8,0.000007,0.000063,0.10,3.996803e-15
1000,16,0.000013,0.000220,0.06,3.996803e-15
1000,20,0.000009,0.000270,0.03,3.996803e-15
10000,1,0.000042,0.000062,0.68,0.000000e+00
10000,2,0.000027,0.000033,0.82,4.884981e-15
10000,4,0.000034,0.000067,0.50,1.021405e-14
10000,8,0.000021,0.000038,0.56,7.993606e-15
10000,16,0.000058,0.000154,0.37,6.661338e-15
10000,20,0.000079,0.000294,0.27,7.105427e-15
100000,1,0.000302,0.000321,0.94,0.000000e+00
100000,2,0.000476,0.000284,1.68,1.509903e-14
100000,4,0.000428,0.000292,1.47,3.463896e-14
100000,8,0.000228,0.000090,2.52,3.641532e-14
100000,16,0.001130,0.000208,5.42,3.730349e-14
100000,20,0.000854,0.000401,2.13,3.597123e-14
1000000,1,0.003788,0.002655,1.43,0.000000e+00
1000000,2,0.004336,0.001679,2.58,1.350031e-13
1000000,4,0.003434,0.000741,4.63,1.110223e-13
1000000,8,0.002943,0.001280,2.30,1.070255e-13
1000000,16,0.011904,0.000908,13.11,1.083578e-13
1000000,20,0.009260,0.000791,11.71,1.092459e-13
10000000,1,0.029326,0.021198,1.38,0.000000e+00
10000000,2,0.023318,0.010605,2.20,1.918465e-13
10000000,4,0.027809,0.005377,5.17,6.128431e-14
10000000,8,0.048517,0.004148,11.70,7.283063e-14
10000000,16,0.044071,0.002898,15.21,7.194245e-14
10000000,20,0.055146,0.002296,24.02,7.904788e-14
