pasos,procesos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,1,3.141592736923,0.000031,0.48,0.000000e+00
1000,1,2,3.141592736923,0.000047,3.04,0.000000e+00
1000,1,4,3.141592736923,0.000145,2.04,4.440892e-16
1000,1,8,3.141592736923,0.000104,4.62,0.000000e+00
1000,1,16,3.141592736923,0.000179,3.71,4.440892e-16
1000,1,20,3.141592736923,0.000151,5.43,4.440892e-16
1000,2,1,3.141592736923,0.000032,0.47,3.996803e-15
1000,2,2,3.141592736923,0.000226,0.84,8.881784e-16
1000,2,4,3.141592736923,0.000216,0.99,8.881784e-16
1000,2,8,3.141592736923,0.000271,1.02,4.440892e-16
1000,2,16,3.141592736923,0.000484,1.08,0.000000e+00
1000,2,20,3.141592736923,0.000940,0.54,4.440892e-16
1000,4,1,3.141592736923,0.000050,0.20,4.884981e-15
1000,4,2,3.141592736923,0.000117,1.52,0.000000e+00
1000,4,4,3.141592736923,0.000247,4.14,1.332268e-15
1000,4,8,3.141592736923,0.000479,0.63,0.000000e+00
1000,4,16,3.141592736923,0.000692,0.73,0.000000e+00
1000,4,20,3.141592736923,0.000872,0.66,4.440892e-16
1000,8,1,3.141592736923,0.000050,0.21,3.996803e-15
1000,8,2,3.141592736923,0.000227,0.45,0.000000e+00
1000,8,4,3.141592736923,0.000575,0.30,8.881784e-16
1000,8,8,3.141592736923,0.000468,0.74,4.440892e-16
1000,8,16,3.141592736923,0.001632,0.37,4.440892e-16
1000,8,20,3.141592736923,0.001091,0.74,0.000000e+00
1000,16,1,3.141592736923,0.000197,0.11,3.996803e-15
1000,16,2,3.141592736923,0.000507,0.22,0.000000e+00
1000,16,4,3.141592736923,0.000762,0.42,8.881784e-16
1000,16,8,3.141592736923,0.001630,0.41,8.881784e-16
1000,16,16,3.141592736923,0.003481,0.30,0.000000e+00
1000,16,20,3.141592736923,0.003698,0.24,4.440892e-16
1000,20,1,3.141592736923,0.000546,0.06,3.996803e-15
1000,20,2,3.141592736923,0.000497,0.23,0.000000e+00
1000,20,4,3.141592736923,0.001079,0.27,8.881784e-16
1000,20,8,3.141592736923,0.001093,0.43,0.000000e+00
1000,20,16,3.141592736923,0.002310,0.55,0.000000e+00
1000,20,20,3.141592736923,0.003146,0.55,8.881784e-16
10000,1,1,3.141592654423,0.000055,0.75,0.000000e+00
10000,1,2,3.141592654423,0.000064,1.45,0.000000e+00
10000,1,4,3.141592654423,0.000107,2.33,0.000000e+00
10000,1,8,3.141592654423,0.000205,2.01,0.000000e+00
10000,1,16,3.141592654423,0.000187,2.95,4.440892e-16
10000,1,20,3.141592654423,0.000230,2.33,0.000000e+00
10000,2,1,3.141592654423,0.000054,0.93,4.884981e-15
10000,2,2,3.141592654423,0.000129,1.75,5.329071e-15
10000,2,4,3.141592654423,0.000259,1.12,2.220446e-15
10000,2,8,3.141592654423,0.000357,0.97,1.332268e-15
10000,2,16,3.141592654423,0.000731,0.63,0.000000e+00
10000,2,20,3.141592654423,0.000965,0.96,0.000000e+00
10000,4,1,3.141592654423,0.000066,0.79,1.021405e-14
10000,4,2,3.141592654423,0.000172,0.57,3.108624e-15
10000,4,4,3.141592654423,0.000287,0.41,3.108624e-15
10000,4,8,3.141592654423,0.000399,0.72,4.440892e-16
10000,4,16,3.141592654423,0.000732,0.76,4.440892e-16
10000,4,20,3.141592654423,0.000708,0.72,4.440892e-16
10000,8,1,3.141592654423,0.000126,0.44,7.993606e-15
10000,8,2,3.141592654423,0.000276,0.40,2.220446e-15
10000,8,4,3.141592654423,0.000238,0.50,3.108624e-15
10000,8,8,3.141592654423,0.000843,0.46,8.881784e-16
10000,8,16,3.141592654423,0.000847,0.71,4.440892e-16
10000,8,20,3.141592654423,0.002085,0.57,4.440892e-16
10000,16,1,3.141592654423,0.000330,0.45,6.661338e-15
10000,16,2,3.141592654423,0.000506,0.47,2.220446e-15
10000,16,4,3.141592654423,0.000883,0.61,3.108624e-15
10000,16,8,3.141592654423,0.001532,0.29,8.881784e-16
10000,16,16,3.141592654423,0.002649,0.47,8.881784e-16
10000,16,20,3.141592654423,0.002125,0.37,4.440892e-16
10000,20,1,3.141592654423,0.000281,0.35,7.105427e-15
