pasos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,3.141592736923,0.000013,0.38,0.000000e+00
1000,2,3.141592736923,0.000225,0.04,3.996803e-15
1000,4,3.141592736923,0.000298,0.02,4.440892e-15
1000,8,3.141592736923,0.000345,0.01,3.996803e-15
1000,16,3.141592736923,0.000645,0.00,3.996803e-15
1000,20,3.141592736923,0.001154,0.01,3.108624e-15
10000,1,3.141592654423,0.000046,0.89,0.000000e+00
10000,2,3.141592654423,0.000389,0.37,4.884981e-15
10000,4,3.141592654423,0.000273,0.10,1.021405e-14
10000,8,3.141592654423,0.000379,0.06,7.993606e-15
10000,16,3.141592654423,0.000868,0.04,7.105427e-15
10000,20,3.141592654423,0.000978,0.05,6.661338e-15
100000,1,3.141592653598,0.000427,1.00,0.000000e+00
100000,2,3.141592653598,0.001369,0.80,1.509903e-14
100000,4,3.141592653598,0.001359,0.45,3.463896e-14
100000,8,3.141592653598,0.000873,0.54,3.641532e-14
100000,16,3.141592653598,0.001093,0.21,3.730349e-14
100000,20,3.141592653598,0.001776,0.16,3.641532e-14
1000000,1,3.141592653590,0.002172,3.76,0.000000e+00
1000000,2,3.141592653590,0.003598,0.82,1.350031e-13
1000000,4,3.141592653590,0.008700,0.45,1.110223e-13
1000000,8,3.141592653590,0.008525,0.79,1.065814e-13
1000000,16,3.141592653590,0.016164,0.60,1.079137e-13
1000000,20,3.141592653590,0.010709,0.69,1.096900e-13
10000000,1,3.141592653590,0.021130,1.37,0.000000e+00
10000000,2,3.141592653590,0.021625,1.18,1.918465e-13
10000000,4,3.141592653590,0.034060,0.85,6.128431e-14
10000000,8,3.141592653590,0.036965,0.68,7.238654e-14
10000000,16,3.141592653590,0.037890,0.70,7.283063e-14
10000000,20,3.141592653590,0.053187,0.54,7.949197e-14
