pasos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,3.141592736923,0.000008,0.63,0.000000e+00
1000,2,3.141592736923,0.000086,0.09,3.996803e-15
1000,4,3.141592736923,0.000511,0.02,4.440892e-15
1000,8,3.141592736923,0.000934,0.02,4.440892e-15
1000,16,3.141592736923,0.002349,0.01,3.996803e-15
1000,20,3.141592736923,0.002144,0.00,3.996803e-15
10000,1,3.141592654423,0.000084,0.92,0.000000e+00
10000,2,3.141592654423,0.000290,0.33,4.884981e-15
10000,4,3.141592654423,0.000752,0.18,1.021405e-14
10000,8,3.141592654423,0.000833,0.08,7.993606e-15
10000,16,3.141592654423,0.002233,0.05,6.661338e-15
10000,20,3.141592654423,0.002124,0.04,6.661338e-15
100000,1,3.141592653598,0.001343,0.89,0.000000e+00
100000,2,3.141592653598,0.000766,0.66,1.509903e-14
100000,4,3.141592653598,0.001590,0.46,3.552714e-14
100000,8,3.141592653598,0.001509,0.41,3.641532e-14
100000,16,3.141592653598,0.002386,0.32,3.597123e-14
100000,20,3.141592653598,0.002234,0.23,3.597123e-14
1000000,1,3.141592653590,0.005144,1.07,0.000000e+00
1000000,2,3.141592653590,0.003537,0.61,1.350031e-13
1000000,4,3.141592653590,0.005306,1.08,1.110223e-13
1000000,8,3.141592653590,0.004110,0.61,1.065814e-13
1000000,16,3.141592653590,0.004533,0.48,1.079137e-13
1000000,20,3.141592653590,0.005108,0.43,1.092459e-13
10000000,1,3.141592653590,0.021416,1.97,0.000000e+00
10000000,2,3.141592653590,0.022539,1.20,1.918465e-13
10000000,4,3.141592653590,0.028157,0.81,6.128431e-14
10000000,8,3.141592653590,0.036688,0.73,7.283063e-14
10000000,16,3.141592653590,0.036168,0.83,7.283063e-14
10000000,20,3.141592653590,0.044963,0.65,7.904788e-14
