pasos,hilos,pi_paralelo,tiempo_paralelo,speedup,diferencia_pi
1000,1,3.141592736923,0.000008,0.50,0.000000e+00
1000,2,3.141592736923,0.000279,0.04,3.996803e-15
1000,4,3.141592736923,0.000382,0.02,4.440892e-15
1000,8,3.141592736923,0.000830,0.01,3.996803e-15
1000,16,3.141592736923,0.001849,0.00,4.440892e-15
1000,20,3.141592736923,0.002450,0.00,3.108624e-15
10000,1,3.141592654423,0.000090,0.92,0.000000e+00
10000,2,3.141592654423,0.000328,0.24,4.884981e-15
10000,4,3.141592654423,0.000515,0.16,1.021405e-14
10000,8,3.141592654423,0.001202,0.08,7.993606e-15
10000,16,3.141592654423,0.001761,0.04,7.105427e-15
10000,20,3.141592654423,0.002512,0.05,7.105427e-15
100000,1,3.141592653598,0.000964,1.30,0.000000e+00
100000,2,3.141592653598,0.001272,0.62,1.509903e-14
100000,4,3.141592653598,0.001823,0.47,3.552714e-14
100000,8,3.141592653598,0.002346,0.35,3.641532e-14
100000,16,3.141592653598,0.002043,0.27,3.597123e-14
100000,20,3.141592653598,0.002382,0.22,3.552714e-14
1000000,1,3.141592653590,0.005565,1.04,0.000000e+00
1000000,2,3.141592653590,0.005680,0.95,1.350031e-13
1000000,4,3.141592653590,0.006679,0.87,1.110223e-13
1000000,8,3.141592653590,0.007327,0.79,1.070255e-13
1000000,16,3.141592653590,0.014275,0.58,1.074696e-13
1000000,20,3.141592653590,0.014582,0.59,1.101341e-13
10000000,1,3.141592653590,0.021132,1.64,0.000000e+00
10000000,2,3.141592653590,0.022458,0.95,1.918465e-13
10000000,4,3.141592653590,0.032642,0.90,6.128431e-14
10000000,8,3.141592653590,0.038306,0.98,7.283063e-14
10000000,16,3.141592653590,0.050928,0.99,7.194245e-14
10000000,20,3.141592653590,0.047681,0.61,7.993606e-14
